ref_EMBL_dir	/lustre/scratch108/parasites/mh12/IVA/IVA-paper/3034/Ref_DB/EMBL/added.2000000032
ref_EMBL_files	CY169047.embl CY169048.embl CY169049.embl CY169050.embl CY169051.embl CY169052.embl CY169053.embl CY169054.embl
ref_bases	13353
ref_sequences	8
ref_bases_assembled	13191
ref_sequences_assembled	8
ref_sequences_assembled_ok	2
ref_bases_assembler_missed	162
assembly_bases	48120
assembly_bases_in_ref	23921
assembly_contigs	93
assembly_contigs_hit_ref	31
assembly_bases_reads_disagree	33
assembly_sum_longest_match_each_segment	11820
cds_number	12
cds_assembled	12
cds_assembled_ok	2
gage_Missing_Reference_Bases	275
gage_Missing_Assembly_Bases	24098
gage_Missing_Assembly_Contigs	63
gage_Duplicated_Reference_Bases	10956
gage_Compressed_Reference_Bases	0
gage_Bad_Trim	1310
gage_Avg_Idy	99.86
gage_SNPs	19
gage_Indels_<_5bp	0
gage_Indels_>=_5	0
gage_Inversions	0
gage_Relocation	0
gage_Translocation	0
ratt_elements_found	43
ratt_elements_transferred	40
ratt_elements_transferred_partially	1
ratt_elements_split	0
ratt_parts_of_elements_not_transferred	3
ratt_elements_not_transferred	2
ratt_gene_models_to_transfer	12
ratt_gene_models_transferred	10
ratt_gene_models_transferred_partially	1
ratt_exons_not_transferred_from_partial_matches	1
ratt_gene_models_not_transferred	1
