ref_EMBL_dir	/lustre/scratch108/parasites/mh12/IVA/IVA-paper/479/Ref_DB/EMBL/added.2000000114
ref_EMBL_files	AF492624.embl
ref_bases	9017
ref_sequences	1
ref_bases_assembled	8906
ref_sequences_assembled	1
ref_sequences_assembled_ok	1
ref_bases_assembler_missed	0
assembly_bases	44942
assembly_bases_in_ref	8885
assembly_contigs	50
assembly_contigs_hit_ref	1
assembly_bases_reads_disagree	36
assembly_sum_longest_match_each_segment	9092
cds_number	9
cds_assembled	5
cds_assembled_ok	5
gage_Missing_Reference_Bases	1629
gage_Missing_Assembly_Bases	37565
gage_Missing_Assembly_Contigs	49
gage_Duplicated_Reference_Bases	0
gage_Compressed_Reference_Bases	0
gage_Bad_Trim	312
gage_Avg_Idy	88.52
gage_SNPs	809
gage_Indels_<_5bp	39
gage_Indels_>=_5	3
gage_Inversions	0
gage_Relocation	0
gage_Translocation	0
ratt_elements_found	20
ratt_elements_transferred	20
ratt_elements_transferred_partially	0
ratt_elements_split	0
ratt_parts_of_elements_not_transferred	0
ratt_elements_not_transferred	0
ratt_gene_models_to_transfer	9
ratt_gene_models_transferred	9
ratt_gene_models_transferred_partially	0
ratt_exons_not_transferred_from_partial_matches	0
ratt_gene_models_not_transferred	0
