ref_EMBL_dir	/lustre/scratch108/parasites/mh12/IVA/IVA-paper/479/Ref_DB/EMBL/added.2000000017
ref_EMBL_files	JX140656.embl
ref_bases	8958
ref_sequences	1
ref_bases_assembled	6628
ref_sequences_assembled	0
ref_sequences_assembled_ok	0
ref_bases_assembler_missed	2246
assembly_bases	43240
assembly_bases_in_ref	12392
assembly_contigs	53
assembly_contigs_hit_ref	8
assembly_bases_reads_disagree	125
assembly_sum_longest_match_each_segment	3516
cds_number	8
cds_assembled	6
cds_assembled_ok	2
gage_Missing_Reference_Bases	2941
gage_Missing_Assembly_Bases	34615
gage_Missing_Assembly_Contigs	46
gage_Duplicated_Reference_Bases	2388
gage_Compressed_Reference_Bases	0
gage_Bad_Trim	7069
gage_Avg_Idy	90.05
gage_SNPs	568
gage_Indels_<_5bp	18
gage_Indels_>=_5	5
gage_Inversions	0
gage_Relocation	0
gage_Translocation	0
ratt_elements_found	19
ratt_elements_transferred	19
ratt_elements_transferred_partially	0
ratt_elements_split	8
ratt_parts_of_elements_not_transferred	0
ratt_elements_not_transferred	0
ratt_gene_models_to_transfer	8
ratt_gene_models_transferred	8
ratt_gene_models_transferred_partially	0
ratt_exons_not_transferred_from_partial_matches	0
ratt_gene_models_not_transferred	0
