ref_EMBL_dir	/lustre/scratch108/parasites/mh12/IVA/IVA-paper/479/Ref_DB/EMBL/added.2000000033
ref_EMBL_files	AY423387.embl
ref_bases	9359
ref_sequences	1
ref_bases_assembled	9090
ref_sequences_assembled	1
ref_sequences_assembled_ok	0
ref_bases_assembler_missed	6
assembly_bases	290782
assembly_bases_in_ref	25193
assembly_contigs	792
assembly_contigs_hit_ref	11
assembly_bases_reads_disagree	408
assembly_sum_longest_match_each_segment	8796
cds_number	9
cds_assembled	9
cds_assembled_ok	0
gage_Missing_Reference_Bases	348
gage_Missing_Assembly_Bases	266746
gage_Missing_Assembly_Contigs	784
gage_Duplicated_Reference_Bases	11370
gage_Compressed_Reference_Bases	0
gage_Bad_Trim	267
gage_Avg_Idy	89.77
gage_SNPs	425
gage_Indels_<_5bp	22
gage_Indels_>=_5	1
gage_Inversions	0
gage_Relocation	0
gage_Translocation	0
ratt_elements_found	20
ratt_elements_transferred	20
ratt_elements_transferred_partially	0
ratt_elements_split	0
ratt_parts_of_elements_not_transferred	0
ratt_elements_not_transferred	0
ratt_gene_models_to_transfer	9
ratt_gene_models_transferred	9
ratt_gene_models_transferred_partially	0
ratt_exons_not_transferred_from_partial_matches	0
ratt_gene_models_not_transferred	0
