ref_EMBL_dir	/lustre/scratch108/parasites/mh12/IVA/IVA-paper/479/Ref_DB/EMBL/added.2000000048
ref_EMBL_files	DQ207941.embl
ref_bases	8835
ref_sequences	1
ref_bases_assembled	8745
ref_sequences_assembled	1
ref_sequences_assembled_ok	0
ref_bases_assembler_missed	4
assembly_bases	49591
assembly_bases_in_ref	10592
assembly_contigs	231
assembly_contigs_hit_ref	6
assembly_bases_reads_disagree	93
assembly_sum_longest_match_each_segment	9328
cds_number	7
cds_assembled	7
cds_assembled_ok	3
gage_Missing_Reference_Bases	504
gage_Missing_Assembly_Bases	39637
gage_Missing_Assembly_Contigs	237
gage_Duplicated_Reference_Bases	1591
gage_Compressed_Reference_Bases	0
gage_Bad_Trim	1325
gage_Avg_Idy	92.72
gage_SNPs	574
gage_Indels_<_5bp	32
gage_Indels_>=_5	3
gage_Inversions	0
gage_Relocation	0
gage_Translocation	0
ratt_elements_found	19
ratt_elements_transferred	19
ratt_elements_transferred_partially	0
ratt_elements_split	0
ratt_parts_of_elements_not_transferred	0
ratt_elements_not_transferred	0
ratt_gene_models_to_transfer	7
ratt_gene_models_transferred	7
ratt_gene_models_transferred_partially	0
ratt_exons_not_transferred_from_partial_matches	0
ratt_gene_models_not_transferred	0
