ref_EMBL_dir	/lustre/scratch108/parasites/mh12/IVA/IVA-paper/3034/Ref_DB/EMBL/added.2000000008
ref_EMBL_files	CY118123.embl CY118124.embl CY118125.embl CY118126.embl CY118127.embl CY118128.embl CY118129.embl CY118130.embl
ref_bases	13381
ref_sequences	8
ref_bases_assembled	13377
ref_sequences_assembled	8
ref_sequences_assembled_ok	2
ref_bases_assembler_missed	2
assembly_bases	48144
assembly_bases_in_ref	25258
assembly_contigs	96
assembly_contigs_hit_ref	29
assembly_bases_reads_disagree	77
assembly_sum_longest_match_each_segment	12228
cds_number	11
cds_assembled	11
cds_assembled_ok	2
gage_Missing_Reference_Bases	4
gage_Missing_Assembly_Bases	22902
gage_Missing_Assembly_Contigs	67
gage_Duplicated_Reference_Bases	11846
gage_Compressed_Reference_Bases	0
gage_Bad_Trim	1568
gage_Avg_Idy	98.43
gage_SNPs	204
gage_Indels_<_5bp	0
gage_Indels_>=_5	0
gage_Inversions	0
gage_Relocation	0
gage_Translocation	0
ratt_elements_found	41
ratt_elements_transferred	40
ratt_elements_transferred_partially	1
ratt_elements_split	0
ratt_parts_of_elements_not_transferred	1
ratt_elements_not_transferred	0
ratt_gene_models_to_transfer	11
ratt_gene_models_transferred	10
ratt_gene_models_transferred_partially	1
ratt_exons_not_transferred_from_partial_matches	1
ratt_gene_models_not_transferred	0
