ref_EMBL_dir	/lustre/scratch108/parasites/mh12/IVA/IVA-paper/3034/Ref_DB/EMBL/added.2000000058
ref_EMBL_files	KF559862.embl KF559863.embl KF559864.embl KF559865.embl KF559866.embl KF559867.embl KF559868.embl KF559869.embl
ref_bases	13417
ref_sequences	8
ref_bases_assembled	12174
ref_sequences_assembled	7
ref_sequences_assembled_ok	4
ref_bases_assembler_missed	1241
assembly_bases	17284
assembly_bases_in_ref	15765
assembly_contigs	21
assembly_contigs_hit_ref	19
assembly_bases_reads_disagree	2
assembly_sum_longest_match_each_segment	10514
cds_number	11
cds_assembled	10
cds_assembled_ok	3
gage_Missing_Reference_Bases	1244
gage_Missing_Assembly_Bases	1308
gage_Missing_Assembly_Contigs	0
gage_Duplicated_Reference_Bases	2977
gage_Compressed_Reference_Bases	0
gage_Bad_Trim	1308
gage_Avg_Idy	99.66
gage_SNPs	39
gage_Indels_<_5bp	1
gage_Indels_>=_5	0
gage_Inversions	0
gage_Relocation	0
gage_Translocation	0
ratt_elements_found	49
ratt_elements_transferred	49
ratt_elements_transferred_partially	0
ratt_elements_split	3
ratt_parts_of_elements_not_transferred	0
ratt_elements_not_transferred	0
ratt_gene_models_to_transfer	11
ratt_gene_models_transferred	11
ratt_gene_models_transferred_partially	0
ratt_exons_not_transferred_from_partial_matches	0
ratt_gene_models_not_transferred	0
